date,eq_trend,eq_hook,eq_combo
2023-10-23,1.2818181236910837,1.2082504969790981,1.2651638253503772
2023-10-24,1.2818181236910837,1.2010603169551448,1.2613993925250622
2023-10-25,1.2818181236910837,1.206661463076105,1.2643406612584822
2023-10-26,1.2818181236910837,1.2065080000017248,1.2642602619041985
2023-10-27,1.2818181236910837,1.2065080000017248,1.2642602619041985
2023-10-30,1.2818181236910837,1.2065080000017248,1.2642602619041985
2023-10-31,1.2839899815209361,1.2065080000017248,1.2653313161739266
2023-11-01,1.2832979791957,1.2065080000017248,1.264990343025542
2023-11-02,1.2784860834167562,1.2065080000017248,1.2626187185896398
2023-11-03,1.2766748903275777,1.2065080000017248,1.2617243614562148
2023-11-06,1.2679281026178815,1.2065080000017248,1.2574021823245418
2023-11-07,1.2752229150428016,1.2065080000017248,1.261019308975416
2023-11-08,1.2840612149783475,1.2065080000017248,1.265389237850504
2023-11-09,1.283260045080383,1.2065080000017248,1.2649944779454667
2023-11-10,1.2954313898448735,1.2065080000017248,1.2709935285569454
2023-11-13,1.2797131887118627,1.2065080000017248,1.2632826871811602
2023-11-14,1.2752492728612852,1.2065080000017248,1.2610793858239457
2023-11-15,1.2682110442179626,1.2065080000017248,1.2575993740161777
2023-11-16,1.2720825974441812,1.2065080000017248,1.2595189531493043
2023-11-17,1.2651940263700516,1.2065080000017248,1.2561086848831498
2023-11-20,1.250077314929656,1.2065080000017248,1.248604605614916
2023-11-21,1.2481530877857452,1.2065080000017248,1.2476436255037493
2023-11-22,1.239585263399889,1.2065080000017248,1.243361461887741
2023-11-23,1.239273074222803,1.2065080000017248,1.2432048917819694
2023-11-24,1.2443458400013445,1.2065080000017248,1.2457493218038602
2023-11-27,1.250522059748282,1.2065080000017248,1.2488409147170694
2023-11-28,1.2427564314991753,1.2065080000017248,1.244963320471383
2023-11-29,1.2456471646711662,1.2065080000017248,1.2464112537418057
2023-11-30,1.2454926132042108,1.2065080000017248,1.2463339306068286
2023-12-01,1.261102226741804,1.2065080000017248,1.254144009442026
2023-12-04,1.2609426402057795,1.2065080000017248,1.2540646564387965
2023-12-05,1.2609426402057795,1.2065080000017248,1.2540646564387965
2023-12-06,1.2702185217286663,1.2065080000017248,1.258677298919214
2023-12-07,1.2822775831585222,1.2065080000017248,1.264652045235846
2023-12-08,1.2758750974937174,1.2065080000017248,1.2614948050653347
2023-12-11,1.2757232694026495,1.2065080000017248,1.2614197466413082
2023-12-12,1.274882978441974,1.2065080000017248,1.2610043118694643
